Filename,Width_mm,Height_mm,Width_px,Height_px,Area_mm2,mm_per_pixel,Angle_deg,Status
001.png,67.82,52.69,1645.5,1278.4,3574.01,0.041219,1.28,SUCCESS
002.png,54.65,37.56,1018.7,700.1,2052.64,0.053650,6.57,SUCCESS
003.png,82.22,45.32,1556.9,858.2,3726.38,0.052811,0.63,SUCCESS
004.png,67.90,52.47,1647.2,1273.0,3562.51,0.041219,1.64,SUCCESS
005.png,89.13,71.33,1608.6,1287.4,6357.95,0.055409,88.37,SUCCESS
006.png,100.09,97.25,1836.0,1784.0,9734.21,0.054515,90.00,SUCCESS
007.png,174.33,81.54,2424.2,1133.8,14214.02,0.071913,0.40,SUCCESS
008.png,115.00,56.59,1837.3,904.0,6507.28,0.062591,88.47,SUCCESS
009.png,73.11,68.34,1514.2,1415.3,4996.11,0.048285,0.19,SUCCESS
010.png,89.19,42.10,2269.3,1071.1,3754.34,0.039302,89.85,SUCCESS
anu1.jpeg,115.81,101.17,924.1,807.3,11717.20,0.125328,89.46,SUCCESS
anu2.jpeg,93.61,81.29,886.3,769.6,7609.38,0.105623,89.01,SUCCESS
anu3.jpeg,67.33,66.35,637.4,628.2,4467.14,0.105623,89.88,SUCCESS
anu4.jpg,85.84,47.91,775.4,432.8,4112.76,0.110704,89.75,SUCCESS
anu5.jpg,180.90,75.06,904.9,375.5,13578.69,0.199922,0.27,SUCCESS
anu6.png,96.49,95.17,728.0,718.0,9183.16,0.132546,90.00,SUCCESS
new1.png,102.72,80.78,668.6,525.8,8297.31,0.153633,89.58,SUCCESS
new2.png,,,,,,,,FAILED: Could not detect IC chip in image
new3.png,107.63,106.68,1019.0,1010.0,11481.86,0.105623,90.00,SUCCESS
new4.png,68.38,46.48,748.5,508.9,3178.42,0.091350,0.52,SUCCESS
new5.png,228.55,96.57,1420.0,600.0,22070.77,0.160949,90.00,SUCCESS
